,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
13046,gas_tax,GOP incumbents face different issues in primary ; Major Moves playing differently in two races.,"DeAGOSTINO, MARTIN","South Bend Tribune; South Bend, Ind.","Apr 30, 2006","South Bend, Ind.",,Local,https://www.proquest.com/newspapers/gop-incumbents-face-different-issues-primary/docview/417413550/se-2?accountid=13360,IN
13092,gas_tax,Measure to ban abortions could deepen rift in GOP: Opponents' frustration has led to personal attacks on Republican leaders,"Cook, Tony; Lange, Kaitlin L","Indianapolis Star; Indianapolis, Ind.","Jan 4, 2018","Indianapolis, Ind.",A.1,News,https://www.proquest.com/newspapers/measure-ban-abortions-could-deepen-rift-gop/docview/1984035419/se-2?accountid=13360,IN
13371,gas_tax,Braun wins in upset: Businessman wins battle for chance to face Donnelly,"Cook, Tony; Groppe, Maureen","Indianapolis Star; Indianapolis, Ind.","May 9, 2018","Indianapolis, Ind.",A.1,News,https://www.proquest.com/newspapers/braun-wins-upset/docview/2036059971/se-2?accountid=13360,IN
13390,gas_tax,"Voters get final say in GOP Senate primary: With little polling, determining a favorite is difficult","Cook, Tony","Indianapolis Star; Indianapolis, Ind.","May 7, 2018","Indianapolis, Ind.",\A.1,News,https://www.proquest.com/newspapers/voters-get-final-say-gop-senate-primary/docview/2035209641/se-2?accountid=13360,IN
13392,gas_tax,Senate race: It's decision time: Determining a favorite is difficult with little polling,"Cook, Tony","Journal & Courier; Lafayette, Ind.","May 7, 2018","Lafayette, Ind.",A.2,News,https://www.proquest.com/newspapers/senate-race-decision-time/docview/2035209426/se-2?accountid=13360,IN
13472,gas_tax,Indiana needs more foster parents,,"Indianapolis Star; Indianapolis, Ind.","May 14, 2017","Indianapolis, Ind.",A.21,Opinion,https://www.proquest.com/newspapers/indiana-needs-more-foster-parents/docview/1898530578/se-2?accountid=13360,IN
13541,gas_tax,Emissinos collision course New greenhouse laws in California pose giant hurdle to Big Three and their gas-guzzling trucks.,"Evanoff, Ted","Indianapolis Star; Indianapolis, Ind.","Sep 1, 2002","Indianapolis, Ind.",,BUSINESS,https://www.proquest.com/newspapers/emissinos-collision-course-new-greenhouse-laws/docview/240541631/se-2?accountid=13360,IN
13650,gas_tax,Candidate Q&A: U.S. House District 2,,"Journal & Courier; Lafayette, Ind.","Sep 1, 2010","Lafayette, Ind.",,ELECTION,https://www.proquest.com/newspapers/candidate-q-u-s-house-district-2/docview/755953171/se-2?accountid=13360,IN
13667,gas_tax,Your Turn: Campaign 2004,,"Journal & Courier; Lafayette, Ind.","Oct 30, 2004","Lafayette, Ind.",,Opinions,https://www.proquest.com/newspapers/your-turn-campaign-2004/docview/383081665/se-2?accountid=13360,IN
13701,gas_tax,One race could determine control of council,"Bland, Terrence","South Bend Tribune; South Bend, Ind.","Nov 3, 2002","South Bend, Ind.",,Local,https://www.proquest.com/newspapers/one-race-could-determine-control-council/docview/417174752/se-2?accountid=13360,IN
